Cart Standard,Carts In Buffer,Carts Picked,Flights On Date,Total Flights,Total Demand,Information,Total Carts Required
S25 - 300 - Back Up - 1,9,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Back Up - 1,9,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Back Up - 1,9,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 300 - Back Up - 2,7,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Back Up - 2,7,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Back Up - 2,7,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 300 - Duty Free - Back Up,4,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Duty Free - Back Up,4,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Duty Free - Back Up,4,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 300 - Duty Free - Service - 1,7,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Duty Free - Service - 1,7,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Duty Free - Service - 1,7,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 300 - Duty Free - Service - 2,4,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Duty Free - Service - 2,4,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Duty Free - Service - 2,4,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 800 - Back Up - 1,104,18,Flights on 02/05/2025,131,456,2933,9929
S25 - 800 - Back Up - 1,104,18,Flights on 03/05/2025,164,456,3509,9929
S25 - 800 - Back Up - 1,104,18,Flights on 04/05/2025,161,456,3487,9929
S25 - 800 - Back Up - 2,98,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Back Up - 2,98,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Back Up - 2,98,18,Flights on 04/05/2025,165,464,3487,9929
S25 - 800 - Back Up - 3,73,18,Flights on 02/05/2025,131,456,2933,9929
S25 - 800 - Back Up - 3,73,18,Flights on 03/05/2025,164,456,3509,9929
S25 - 800 - Back Up - 3,73,18,Flights on 04/05/2025,161,456,3487,9929
S25 - 800 - Duty Free - Back Up - 1,28,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Duty Free - Back Up - 1,28,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Duty Free - Back Up - 1,28,18,Flights on 04/05/2025,165,464,3487,9929
S25 - 800 - Duty Free - Back Up - 2,45,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Duty Free - Back Up - 2,45,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Duty Free - Back Up - 2,45,18,Flights on 04/05/2025,165,464,3487,9929
S25 - 800 - Duty Free - Back Up - 3,53,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Duty Free - Back Up - 3,53,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Duty Free - Back Up - 3,53,18,Flights on 04/05/2025,165,464,3487,9929
S25 - 800 - Skyshop - Back Up,1,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Skyshop - Back Up,1,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Skyshop - Back Up,1,18,Flights on 04/05/2025,165,464,3487,9929
S25 - A321 - Back Up - Double,9,4,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Back Up - Double,9,4,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Back Up - Double,9,4,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Back Up - Single,6,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Back Up - Single,6,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Back Up - Single,6,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Duty Free - Back Up 1,6,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Duty Free - Back Up 1,6,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Duty Free - Back Up 1,6,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Duty Free - Back Up 2,6,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Duty Free - Back Up 2,6,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Duty Free - Back Up 2,6,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Duty Free - Back Up 3,5,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Duty Free - Back Up 3,5,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Duty Free - Back Up 3,5,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Skyshop - Back Up,2,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Skyshop - Back Up,2,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Skyshop - Back Up,2,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A330 - Back Up 1,1,0,Flights on 02/05/2025,3,9,2933,9929
